"id","listingType","featureGroups","numberOfRooms","price","debtFreePrice","livingArea","totalArea","pricePMsq","city","region","district","postalCode","floor","buildingAge","centrum","hasSauna","hasBalcony","hasParking","hasWalkInCloset","hasStorage","link"
"524582","Rivitalo","apartment",1,110000,110000,36,36,3055.55555555556,"Kuopio","Kuopio","Savolanniemi","70820",1,7,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524582'>https://op-koti.fi/kohde/524582</a>"
"523631","Kerrostalo","apartment",3,100306.19,106000,75,75,1413.33333333333,"Lappeenranta","Lappeenranta","Lauritsala","53300",3,49,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/523631'>https://op-koti.fi/kohde/523631</a>"
"523403","Omakotitalo","apartment",6,820000,820000,202.7,240.2,3413.82181515404,"Pirkkala","Pirkkala","Haikka","33960",0,8,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/523403'>https://op-koti.fi/kohde/523403</a>"
"524718","Rivitalo","apartment",3,120677.09,149000,99,99,1505.05050505051,"Mynämäki","Mynämäki","Nihattula","23100",1,48,1,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524718'>https://op-koti.fi/kohde/524718</a>"
"524681","Kerrostalo","apartment",2,85353.44,166000,43,43,3860.46511627907,"Tampere","Itä","Vehmainen","33730",2,3,0,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/524681'>https://op-koti.fi/kohde/524681</a>"
"524176","Kerrostalo","apartment",2,45070.58,79000,53.5,53.5,1476.63551401869,"Mikkeli","Mikkeli","Lehmuskylä","50130",2,57,0,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/524176'>https://op-koti.fi/kohde/524176</a>"
"524566","Kerrostalo","apartment",1,55620.34,58000,26,26,2230.76923076923,"Riihimäki","Riihimäki","Koivistonmäki","11910",1,68,0,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/524566'>https://op-koti.fi/kohde/524566</a>"
"523554","Kerrostalo","apartment",2,66000,66000,55,55,1200,"Lappeenranta","Lappeenranta","Lauritsala","53300",1,68,0,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/523554'>https://op-koti.fi/kohde/523554</a>"
"524836","Rivitalo","apartment",3,81233.26,98000,86.5,86.5,1132.94797687861,"Kemi","Kemi","Ruutti","94100",1,41,1,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524836'>https://op-koti.fi/kohde/524836</a>"
"524868","Rivitalo","apartment",3,124000,124000,77,77,1610.38961038961,"Pori","Pori","Liinaharja","28100",0,31,1,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524868'>https://op-koti.fi/kohde/524868</a>"
"524311","Kerrostalo","apartment",3,329000,329000,76.5,76.5,4300.65359477124,"Tampere","Keskusta","Juhannuskylä","33100",1,51,1,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/524311'>https://op-koti.fi/kohde/524311</a>"
"523712","Rivitalo","apartment",4,131148.78,139000,90.5,90.5,1535.91160220994,"Salo","Salo","Halikko","24800",1,23,0,1,0,0,1,0,"<a href='https://op-koti.fi/kohde/523712'>https://op-koti.fi/kohde/523712</a>"
"524124","Kerrostalo","apartment",1,375000,375000,44,44,8522.72727272727,"Helsinki","Etelä-Helsinki","Vallila","00520",3,6,0,0,1,0,0,0,"<a href='https://op-koti.fi/kohde/524124'>https://op-koti.fi/kohde/524124</a>"
"523690","Kerrostalo","apartment",3,87554.09,183000,59,59,3101.69491525424,"Kuopio","Kuopio","Lehtoniemi","70800",4,4,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/523690'>https://op-koti.fi/kohde/523690</a>"
"523984","Omakotitalo","apartment",4,158000,158000,89,143,1104.8951048951,"Riihimäki","Riihimäki","Juppala","11120",0,56,0,1,0,1,1,0,"<a href='https://op-koti.fi/kohde/523984'>https://op-koti.fi/kohde/523984</a>"
"524712","Paritalo","apartment",3,398000,398000,73,73,5452.05479452055,"Vantaa","Itä-Vantaa","Tikkurila","01300",1,0,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524712'>https://op-koti.fi/kohde/524712</a>"
"524711","Paritalo","apartment",3,498000,498000,97,97,5134.0206185567,"Vantaa","Itä-Vantaa","Tikkurila","01300",1,0,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524711'>https://op-koti.fi/kohde/524711</a>"
"524809","Kerrostalo","apartment",1,65000,65000,30,30,2166.66666666667,"Laukaa","Laukaa","Keskusta","41340",2,24,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524809'>https://op-koti.fi/kohde/524809</a>"
"523598","Omakotitalo","apartment",4,135000,135000,109,157.5,857.142857142857,"Kemi","Kemi","Karihaara","94200",0,25,0,1,0,1,0,0,"<a href='https://op-koti.fi/kohde/523598'>https://op-koti.fi/kohde/523598</a>"
"521054","Kerrostalo","apartment",1,39000,39000,34.5,34.5,1130.4347826087,"Hämeenlinna","Hämeenlinna","Idänpää","13210",3,43,0,0,1,0,0,0,"<a href='https://op-koti.fi/kohde/521054'>https://op-koti.fi/kohde/521054</a>"
"618146","Kerrostalo","apartment",3,51741.38,58000,70.5,70.5,822.695035460993,"Alajärvi","Alajärvi","Keskusta","62900",0,45,0,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/618146'>https://op-koti.fi/kohde/618146</a>"
"524784","Kerrostalo","apartment",3,61527.4,75000,75,75,1000,"Mynämäki","Mynämäki","Mäenkylä","23100",0,47,1,0,1,0,1,0,"<a href='https://op-koti.fi/kohde/524784'>https://op-koti.fi/kohde/524784</a>"
"524257","Kerrostalo","apartment",2,133971.36,135000,57,57,2368.42105263158,"Jyväskylä","Jyväskylä","Palokka/Heikkilä","40270",1,32,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524257'>https://op-koti.fi/kohde/524257</a>"
"523401","Kerrostalo","apartment",2,164000,164000,56,56,2928.57142857143,"Tampere","Etelä","Järvensivu","33100",3,60,1,0,0,0,1,0,"<a href='https://op-koti.fi/kohde/523401'>https://op-koti.fi/kohde/523401</a>"
"517953","Omakotitalo","apartment",4,179000,179000,126,136,1316.17647058824,"Jyväskylä","Jyväskylä","Kortemäki","40630",0,48,0,1,0,0,1,0,"<a href='https://op-koti.fi/kohde/517953'>https://op-koti.fi/kohde/517953</a>"
"523057","Kerrostalo","apartment",3,224000,224000,68,68,3294.11764705882,"Kajaani","Kajaani","Keskusta","87100",3,8,1,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/523057'>https://op-koti.fi/kohde/523057</a>"
"515460","Omakotitalo","apartment",6,175000,175000,168.3,218.3,801.649106733852,"Tornio","Tornio","Ylivojakkala","95500",0,38,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/515460'>https://op-koti.fi/kohde/515460</a>"
"517830","Kerrostalo","apartment",3,77860.39,144000,74.8,74.8,1925.13368983957,"Kuopio","Kuopio","Puijonlaakso","70200",3,56,0,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/517830'>https://op-koti.fi/kohde/517830</a>"
"524499","Omakotitalo","apartment",4,335000,335000,159,273,1227.10622710623,"Kuopio","Kuopio","Hiltulanlahti","70870",0,33,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524499'>https://op-koti.fi/kohde/524499</a>"
"524427","Rivitalo","apartment",4,238782.09,239000,84.5,96.5,2476.68393782383,"Tampere","Länsi","Ryydynpohja","33400",1,39,0,1,0,0,1,0,"<a href='https://op-koti.fi/kohde/524427'>https://op-koti.fi/kohde/524427</a>"
"524622","Kerrostalo","apartment",1,37212.55,39500,36,36,1097.22222222222,"Salo","Salo","Pahkavuori","24100",0,43,1,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/524622'>https://op-koti.fi/kohde/524622</a>"
"517679","Kerrostalo","apartment",2,60068.97,155000,36,36,4305.55555555556,"Seinäjoki","Seinäjoki","Itikanmäki","60100",7,5,1,0,1,0,0,0,"<a href='https://op-koti.fi/kohde/517679'>https://op-koti.fi/kohde/517679</a>"
"509956","Rivitalo","apartment",3,95000,95000,69.5,69.5,1366.90647482014,"Lapua","Lapua","Siirilä","62100",1,15,1,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/509956'>https://op-koti.fi/kohde/509956</a>"
"510052","Omakotitalo","apartment",2,48000,48000,50,70,685.714285714286,"Pori","Pori","Ahlainen","29700",0,82,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/510052'>https://op-koti.fi/kohde/510052</a>"
"518233","Omakotitalo","apartment",5,162000,162000,140,257,630.350194552529,"Jokioinen","Jokioinen","Keskusta","31600",0,48,0,1,0,1,0,0,"<a href='https://op-koti.fi/kohde/518233'>https://op-koti.fi/kohde/518233</a>"
