id,listingType,floor,numberOfRooms,price,debtFreePrice,city,region,district,postalCode,livingArea,totalArea,buildingAge,centrum,hasSauna,hasBalcony,hasParking,hasWalkInCloset,hasStorageRoom
509169,Rivitalo,0,3,73356.19,75000.0,Pori,Pori,Uusiniitty,28760,79.0,79.0,43.0,0,1,0,0,0,0
506782,Omakotitalo,0,3,52000.0,52000.0,Kajaani,Kajaani,Nakertaja,87830,62.0,62.0,72.0,0,0,0,0,0,0
509242,Kerrostalo,3,2,38000.0,38000.0,Rauma,Rauma,Sampaanala,26820,56.0,56.0,48.0,0,0,0,0,0,0
508428,Omakotitalo,0,4,129000.0,129000.0,Salo,Salo,Halikko,24800,124.0,174.0,55.0,0,1,0,0,0,0
509136,Kerrostalo,3,2,52000.0,52000.0,Laukaa,Laukaa,Kirkonkylä,41340,60.0,60.0,52.0,0,0,0,0,0,0
508377,Rivitalo,2,1,97500.0,97500.0,Joensuu,Joensuu,Hukanhauta,80230,35.4,35.4,5.0,0,1,0,0,0,0
507126,Omakotitalo,0,6,350000.0,350000.0,Hyvinkää,Hyvinkää,Kirjavatolppa,05830,213.0,240.0,23.0,0,1,0,0,0,0
681012,Kerrostalo,4,3,112062.25,214000.0,Sastamala,Sastamala,Keskusta,38200,65.5,65.5,7.0,0,1,0,0,0,0
509041,Kerrostalo,1,4,14482.14,22000.0,Kemi,Kemi,Rytikari,94830,82.0,82.0,54.0,0,0,0,0,0,0
509107,Omakotitalo,0,4,223000.0,223000.0,Mäntsälä,Mäntsälä,Sääksjärvi,04630,119.0,145.0,31.0,0,1,0,0,0,1
509029,Kerrostalo,4,3,97142.36,98000.0,Seinäjoki,Seinäjoki,Uppa,60100,75.0,75.0,47.0,1,0,0,0,0,0
508666,Kerrostalo,3,2,24273.98,38000.0,Kemi,Kemi,Sauvosaari,94100,51.0,51.0,55.0,1,0,0,0,0,0
508862,Kerrostalo,2,3,30541.3,39000.0,Kotka,Kotka,Karhula,48600,63.5,63.5,55.0,0,0,1,0,0,0
